구분,국가,국가_짧은명,항목명,항목명_짧은,티커
지표,중국,중,Shenzhen Index,Shenzhen,399001.SZ
지표,베트남,베,Vietnam VN Index,VN Index,0P0000HY8X.VN
지표,한국,한,KOSPI Composite Index,KOSPI,^KS11
지표,인니,인,IDX Composite,IDX,^JKSE
지표,필리핀,필,PSEi,PSEi,PSEI.PS
환율,베트남,베,USD/VND,USD/VND,USDVND=X
환율,인니,인,USD/IDR,USD/IDR,USDIDR=X
환율,한국,한,USD/KRW,USD/KRW,USDKRW=X
환율,필리핀,필,USD/PHP,USD/PHP,USDPHP=X
환율,중국,중,USD/CNY,USD/CNY,USDCNY=X
사료,베트남,베,BAF Vietnam Agriculture JSC,BAF,BAF.VN
사료,중국,중,"China Animal Husbandry Industry Co., Ltd.",CAHIC,600195.SS
사료,한국,한,Sunjin Co. Ltd.,Sunjin,136490.KQ
사료,인니,인,PT Japfa Comfeed Indonesia Tbk,JPFA,JPFA.JK
